id,cohort,race,sex,asvab_wt,sci,arith,word,para,number,coding,auto,math,mech,elec,social,weight_custom,pc1_verb,pc2_math,pc3_mech,pc4_admin,pc1_verb_m,pc1_verb_f,pc2_math_m,pc2_math_f,pc3_mech_m,pc3_mech_f,pc4_admin_m,pc4_admin_f,social_m,social_f
1,79,3,2,0,,,,,,,,,,,-1.3593116,563563,,,,,,,,,,,,,,-1.3593116
2,79,3,2,805802,-1.6016221,-1.1644038,-1.2603575,-1.2651653,-.13801174,.48946273,-.77758574,-.98654348,-.58274835,-1.3935161,-.96363449,763795,-2.4998622,-1.6023476,-1.4196613,.48701197,,-2.4998622,,-1.6023476,,-1.4196613,,.48701197,,-.96363449
3,79,3,2,565210,.024939204,-.33304963,.80583388,.62292516,1.3067976,1.769522,.30404571,.15819515,.24767072,1.1519032,-1.5208786,536272,1.0910636,.16376668,.68483818,2.2111461,,1.0910636,,.16376668,,.68483818,,2.2111461,,-1.5208786
4,79,3,2,592574,.25335366,.39182913,.85703868,.64969128,1.3153958,1.285694,-.15038496,-.3294805,-.41181505,.078217156,.46058226,565820,1.0441163,.21985456,-.33010852,1.8028663,,1.0441163,,.21985456,,-.33010852,,1.8028663,,.46058226
5,79,3,1,800227,2.0401258,1.8823717,1.31239,.84575927,.45658457,.74840295,.32204849,2.0604985,1.5775063,1.2208066,-.17094287,764753,2.3994007,3.0503352,1.6110244,.52258259,2.3994007,,3.0503352,,1.6110244,,.52258259,,-.17094287,
6,79,3,1,695851,1.6863593,2.0621896,1.3291029,1.3749357,1.153023,1.4584326,1.5950123,2.0067749,1.6604905,2.1118941,-.21937941,636938,2.7023919,3.1455321,2.8177657,1.578703,2.7023919,,3.1455321,,2.8177657,,1.578703,,-.21937941,
7,79,3,1,701175,.25979251,.04931777,.83921582,-.20719561,.35563931,-.2011852,.52122551,-.060580418,-.59157294,.68539101,.043576509,674417,.68938822,-.12326077,.38986677,.017275289,.68938822,,-.12326077,,.38986677,,.017275289,,.043576509,
8,79,3,2,155151,.56922603,-.56408745,1.0543181,.39042452,-.67919129,.2119132,-.3908439,-1.3460858,-.16956954,.2857151,.25330761,148170,1.2370044,-1.4653406,-.084662341,-.10185283,,1.2370044,,-1.4653406,,-.084662341,,-.10185283,,.25330761
9,79,3,1,670264,.74634278,.93329912,.76206881,.16609049,.86007971,.49328029,.39889562,.2277815,.29452452,1.511018,2.0554891,637256,1.1928062,.97486866,1.1232517,.73683089,1.1928062,,.97486866,,1.1232517,,.73683089,,2.0554891,
10,79,3,2,145028,-.747702,-.011328876,-.96102554,.33685923,.69376034,.62687814,-.59314847,-.43159601,-.44357139,-.15816484,-.85822392,133082,-.72794211,-.19052552,-.84317768,.95850194,,-.72794211,,-.19052552,,-.84317768,,.95850194,,-.85822392
11,79,3,1,759100,.90302819,.69130582,1.2215395,1.3743589,.18828228,.56633312,.32204849,1.2601686,.57306206,.36942834,-.90852356,725449,2.0291455,1.4370904,.54444009,.50361425,2.0291455,,1.4370904,,.54444009,,.50361425,,-.90852356,
12,79,3,2,805802,1.0925444,1.4853498,1.31239,.84575927,1.2614914,.74840295,-.34374118,1.460251,.47261763,.84241629,2.3088899,763795,1.9568579,2.3950257,.25546288,1.0689687,,1.9568579,,2.3950257,,.25546288,,1.0689687,,2.3088899
13,79,3,1,1015469,.21045835,1.6039379,.45864674,.65917194,.26727292,-.70321083,1.2410632,1.6505438,1.0719362,1.1041925,.50683677,917150,.88508302,2.3805127,1.7173268,-.58413106,.88508302,,2.3805127,,1.7173268,,-.58413106,,.50683677,
14,79,3,2,715511,.80955696,1.6803032,1.3044503,1.5668715,1.3913192,.99060702,.81328297,2.2916985,1.9016942,1.312619,.87818468,705326,2.1883223,3.3521576,1.8095658,1.3743447,,2.1883223,,3.3521576,,1.8095658,,1.3743447,,.87818468
15,79,3,1,771293,1.3571757,1.5480505,1.3143575,1.3610197,1.172529,1.6035908,.45367676,.11823668,1.3686596,1.0287162,.71702409,741859,2.2899141,1.612162,1.4992391,1.8455316,2.2899141,,1.612162,,1.4992391,,1.8455316,,.71702409,
16,79,3,2,763515,-.33806941,.098109469,.62403029,.48004773,1.2121278,.82315898,-.35212481,.70707589,-.31498924,-.13432071,.084653214,729160,.5008027,.76819533,-.69586188,1.3430841,,.5008027,,.76819533,,-.69586188,,1.3430841,,.084653214
17,79,3,1,975713,.75926185,1.6452248,.95290005,.71299189,.37161556,.72649616,.81714255,1.5483991,1.0824721,1.0716231,.44445419,904257,1.5093966,2.2922149,1.5362046,.62160724,1.5093966,,2.2922149,,1.5362046,,.62160724,,.44445419,
18,79,3,1,942936,1.2170924,1.702302,1.0833757,.95118994,1.1929888,.91716385,1.3644154,1.6228938,.50673151,1.3354883,1.0743308,851639,2.0060809,2.4286687,1.7302424,1.22417,2.0060809,,2.4286687,,1.7302424,,1.22417,,1.0743308,
19,79,3,2,0,,,,,,,,,,,.56076491,770089,,,,,,,,,,,,,,.56076491
20,79,3,2,748244,1.3478599,.22588953,.5243929,1.0642403,.6356107,.69620991,1.0181279,1.2833564,1.4037217,.62173897,-.50749069,709237,1.5418601,1.4827616,1.6303643,.82608241,,1.5418601,,1.4827616,,1.6303643,,.82608241,,-.50749069
21,79,3,2,629805,.18174966,1.9218963,1.1784247,.84494752,1.4227633,1.2990078,1.3156612,1.979931,1.6886036,-.39101195,1.3320894,597559,.99097234,3.1187654,1.4258487,1.7372577,,.99097234,,3.1187654,,1.4258487,,1.7372577,,1.3320894
22,79,3,2,664402,1.0089391,1.6565186,1.0593657,1.247538,.93328393,.23985492,.1487148,1.5997118,1.587483,1.0350221,-.17205215,654945,1.9148419,2.8030217,1.1880332,.48091623,,1.9148419,,2.8030217,,1.1880332,,.48091623,,-.17205215
